item_name,item_id,trackable,bundle,cooking,crafting,quest,shipping,crop,fish,forage,spring,summer,fall,winter
Weeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Wild Horseradish,16,1,0,0,0,0,1,0,0,1,1,0,0,0
Daffodil,18,1,0,0,0,0,1,0,0,1,1,0,0,0
Leek,20,1,0,0,0,0,1,0,0,1,1,0,0,0
Dandelion,22,1,0,0,0,0,1,0,0,1,1,0,0,0
Parsnip,24,1,0,0,0,0,1,1,0,0,1,0,0,0
Lumber,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerald,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquamarine,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruby,64,0,0,0,0,0,0,0,0,0,0,0,0,0
Amethyst,66,0,0,0,0,0,0,0,0,0,0,0,0,0
Topaz,68,0,0,0,0,0,0,0,0,0,0,0,0,0
Banana Sapling,69,0,0,0,0,0,0,0,0,0,0,0,0,0
Jade,70,0,0,0,0,0,0,0,0,0,0,0,0,0
Trimmed Lucky Purple Shorts,71,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond,72,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Walnut,73,0,0,0,0,0,0,0,0,0,0,0,0,0
Prismatic Shard,74,0,0,0,0,0,0,0,0,0,0,0,0,0
Cave Carrot,78,1,0,0,0,0,1,0,0,1,1,1,1,1
Secret Note,79,0,0,0,0,0,0,0,0,0,0,0,0,0
Quartz,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Quartz,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Tear,84,0,0,0,0,0,0,0,0,0,0,0,0,0
Earth Crystal,86,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconut,88,1,0,0,0,0,1,0,0,1,1,1,1,1
Cactus Fruit,90,1,0,0,0,0,1,0,0,1,1,1,1,1
Banana,91,1,0,0,0,0,1,1,0,0,1,1,1,1
Sap,92,1,0,0,0,0,1,0,0,0,0,0,0,0
Torch,93,1,0,0,1,0,0,0,0,0,0,0,0,0
Spirit Torch,94,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf Scroll I,96,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf Scroll II,97,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf Scroll III,98,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwarf Scroll IV,99,0,0,0,0,0,0,0,0,0,0,0,0,0
Chipped Amphora,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowhead,101,0,0,0,0,0,0,0,0,0,0,0,0,0
Lost Book,102,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Doll,103,0,0,0,0,0,0,0,0,0,0,0,0,0
Elvish Jewelry,104,0,0,0,0,0,0,0,0,0,0,0,0,0
Chewing Stick,105,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornamental Fan,106,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur Egg,107,0,0,0,0,0,0,0,0,0,0,0,0,0
Rare Disc,108,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Sword,109,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusty Spoon,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusty Spur,111,0,0,0,0,0,0,0,0,0,0,0,0,0
Rusty Cog,112,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Statue,113,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Seed,114,0,0,0,0,0,0,0,0,0,0,0,0,0
